text,label_id
"Chúng ta cực kỳ hoảng sợ vì sự cô đơn", 3
"Mọi người luôn rùng mình khi thấy tiếng chó hú", 3
"Mọi người cực kỳ hoảng sợ vì sự cô đơn 😱", 3
"Bọn mình kinh hãi trước tiếng sấm", 3
"Lúc ở nhà một mình, chúng tôi nổi da gà toàn thân, không bao giờ dám thử lại", 3
"Cô ấy luôn rùng mình khi thấy độ cao", 3
"cô ấy bủn rủn hết cả tay chân sau khi xem xong bộ phim kinh dị đó, chỉ mong trời mau sáng", 3
"Lúc màn hình tivi tự nhiên xẹt nhiễu, tôi thấy rợn tóc gáy, tim như muốn nhảy ra ngoài", 3
"Lúc ở nhà một mình, tôi sợ hãi tột độ, muốn ngất xỉu ngay lúc đó", 3
"Lúc cửa sổ tự nhiên mở toang, anh ấy mất trí vì sợ, chỉ mong trời mau sáng", 3
"Khi đọc xong mẩu truyện ma, đứa bé run rẩy không đứng vững", 3
"Đi trong rừng sâu ngập sương mù, đứa bé đứng hình mất 5 giây", 3
"Bọn mình kinh hãi trước ma quỷ", 3
"Đi trong rừng sâu ngập sương mù, cả đám sợ đến mức ám ảnh, thật ám ảnh", 3
"Cô ấy kinh hãi trước ma quỷ 😱", 3
"cả đám run rẩy không đứng vững tự nhiên con chó sủa ầm ĩ vào góc tường, không dám quay lại nhìn", 3
"Nhìn thấy cái bóng lướt qua, ai cũng đứng hình mất 5 giây, mất ngủ cả đêm", 3
"Đứng trên tòa nhà cao tầng nhìn xuống, người ta mất trí vì sợ 😖", 3
"Mỗi khi cúp điện, bạn tôi sợ xanh mặt", 3
"chúng tôi sợ xanh mặt khi bị ai đó bám theo, chỉ mong trời mau sáng", 3
"Mọi người cực kỳ hoảng sợ vì những căn phòng trống", 3
"Tự nhiên con chó sủa ầm ĩ vào góc tường, ai cũng sợ hãi tột độ, thật ám ảnh", 3
"Đứng trên tòa nhà cao tầng nhìn xuống, anh ấy sợ đến mức ám ảnh, thật sự rất đáng sợ", 3
"chúng tôi sợ đến mức ám ảnh lúc cửa sổ tự nhiên mở toang, chạy thục mạng 😰", 3
"Mọi người cực kỳ hoảng sợ vì độ cao", 3
"ai cũng sợ hãi tột độ khi đi qua con hẻm tối, chỉ mong trời mau sáng 👻", 3
"ai cũng không dám thở mạnh khi bị ai đó bám theo, thật sự rất đáng sợ", 3
"Lúc cửa sổ tự nhiên mở toang, cả đám mất trí vì sợ, muốn ngất xỉu ngay lúc đó", 3
"cô ấy thấy lạnh toát sống lưng khi đọc xong mẩu truyện ma, không dám quay lại nhìn 😖", 3
"Vừa tỉnh dậy giữa đêm không thấy ai, cả đám bủn rủn hết cả tay chân", 3
"Bọn mình không chịu nổi những căn phòng trống", 3
"cả đám không dám thở mạnh vừa nghe tiếng động lạ trên lầu, chỉ mong trời mau sáng", 3
"Vừa nghe tiếng động lạ trên lầu, em bủn rủn hết cả tay chân, quá ghê rợn", 3
"Bước vào căn nhà hoang, cô ấy thấy lạnh toát sống lưng, nhớ lại vẫn còn run", 3
"Nghe tiếng khóc trẻ con giữa đêm, ai cũng thấy rợn tóc gáy, chỉ mong trời mau sáng", 3
"Cô ấy cực kỳ hoảng sợ vì những căn phòng trống", 3
"Khi bị ai đó bám theo, cả đám bủn rủn hết cả tay chân", 3
"Tôi luôn rùng mình khi thấy những tiếng động lạ", 3
"Nhìn thấy cái bóng lướt qua, đứa bé tim đập thình thịch, không muốn nhắc lại nữa 🫣", 3
"Bọn mình không chịu nổi bóng tối 👻", 3
"Tôi không chịu nổi những căn phòng trống", 3
"tôi hoảng loạn thực sự vừa nghe tiếng động lạ trên lầu, thật sự rất đáng sợ 😨", 3
"Khi bị ai đó bám theo, ai cũng sợ khóc thét, không muốn nhắc lại nữa", 3
"em nổi da gà toàn thân khi đọc xong mẩu truyện ma, nhớ lại vẫn còn run 😨", 3
"Đứng trên tòa nhà cao tầng nhìn xuống, em sợ hãi tột độ, muốn ngất xỉu ngay lúc đó", 3
"Lúc đi dạo qua khu nghĩa trang, tôi nín thở vì kinh hãi, nhớ lại vẫn còn run", 3
"Lúc đi dạo qua khu nghĩa trang, tôi đứng hình mất 5 giây 🫣", 3
"Đi trong rừng sâu ngập sương mù, bạn tôi sợ xanh mặt", 3
"Chúng ta luôn rùng mình khi thấy tiếng sấm", 3
