"text","label_id"
"Cái ghế được đặt ngoài sân.","0"
"Cậu bé đang đọc hôm qua.","0"
"Người lái xe đang viết ở trường.","0"
"Ngôi nhà có màu nâu.","0"
"Sự kiện diễn ra hôm qua ở bến xe.","0"
"Bác sĩ đang sử dụng máy tính.","0"
"Bức tranh có màu đen.","0"
"Tài liệu có màu vàng.","0"
"Bức tranh có màu tím.","0"
"Sự kiện diễn ra năm nay tại nhà hàng.","0"
"Giáo viên đang chạy tháng sau.","0"
"Người lái xe đang mua điện thoại.","0"
"Điện thoại có màu vàng.","0"
"Sự kiện diễn ra vào buổi tối trong phòng.","0"
"Điện thoại được đặt tại bệnh viện.","0"
"Nhân viên đang chạy lúc 12 giờ trưa.","0"
"Sự kiện diễn ra vào buổi sáng ở ngân hàng.","0"
"Công nhân đang làm điện thoại.","0"
"Quyển sách được đặt tại nhà hàng.","0"
"Người phụ nữ đang ăn báo cáo.","0"
"Công nhân đang ăn cơm.","0"
"Nhân viên đang chạy lúc 7 giờ sáng.","0"
"Họ đang đi bộ tại công ty.","0"
"Công nhân đang đọc sản phẩm.","0"
"Sự kiện diễn ra ngày mai ở thư viện.","0"
"Kỹ sư đang viết vào buổi tối.","0"
"Tôi đang kiểm tra hôm nay.","0"
"Giáo viên đang uống vào buổi chiều.","0"
"Học sinh đang bán cơm.","0"
"Túi xách được đặt tại sân bay.","0"
"Người phụ nữ đang sửa chữa ở ngân hàng.","0"
"Công nhân đang sửa chữa tại công ty.","0"
"Ngôi nhà được đặt ở thư viện.","0"
"Kỹ sư đang kiểm tra lúc 7 giờ sáng.","0"
"Anh ấy đang đọc tuần này.","0"
"Giám đốc đang uống vào buổi tối.","0"
"Thư ký đang viết năm nay.","0"
"Chúng tôi đang chạy hôm qua.","0"
"Máy tính được đặt ở thư viện.","0"
"Chìa khóa được đặt ở công viên.","0"
"Chúng tôi đang mang hóa đơn.","0"
"Tài liệu có màu xanh.","0"
"Họ đang uống vào buổi tối.","0"
"Thư ký đang gấp máy tính.","0"
"Quyển sách được đặt ở bến xe.","0"
"Kỹ sư đang uống tại công ty.","0"
"Bảo vệ đang đi bộ vào buổi tối.","0"
"Giám đốc đang nhận quyển sách.","0"
"Tờ giấy được đặt ở bến xe.","0"
"Cây bút có màu đen.","0"
"Công nhân đang chạy trên đường.","0"
"Cô bé đang đọc lúc 12 giờ trưa.","0"
"Báo cáo có màu nâu.","0"
"Kỹ sư đang đứng ngày mai.","0"
"Sự kiện diễn ra năm nay trong nhà.","0"
"Tôi đang viết quyển sách.","0"
"Khách hàng đang đi bộ ở bến xe.","0"
"Cô bé đang in quyển sách.","0"
"Công nhân đang nghỉ ngơi hôm qua.","0"
"Anh ấy đang bán quyển sách.","0"
"Sự kiện diễn ra ngày mai ở bến xe.","0"
"Giám đốc đang nhận bưu kiện.","0"
"Cái ghế được đặt tại bệnh viện.","0"
"Giám đốc đang kiểm tra tại công ty.","0"
"Sự kiện diễn ra vào buổi sáng trên đường.","0"
"Cô ấy đang kiểm tra tuần trước.","0"
"Cây bút được đặt trong phòng.","0"
"Nhân viên đang ăn ngoài sân.","0"
"Máy tính được đặt tại sân bay.","0"
"Kỹ sư đang uống ở ngân hàng.","0"
"Giáo viên đang đóng tuần trước.","0"
"Cái bàn có màu nâu.","0"
"Kỹ sư đang tạo bức thư.","0"
"Người lái xe đang ngồi trong nhà.","0"
"Họ đang làm máy tính.","0"
"Bảo vệ đang kiểm tra hôm nay.","0"
"Công nhân đang bán hóa đơn.","0"
"Sự kiện diễn ra tuần này tại sân bay.","0"
"Đồng hồ được đặt trong phòng.","0"
"Ngôi nhà được đặt ở ngân hàng.","0"
"Người phụ nữ đang nghỉ ngơi ở thư viện.","0"
"Điện thoại có màu xanh.","0"
"Máy tính có màu đỏ.","0"
"Cây bút được đặt ở thư viện.","0"
"Thư ký đang đóng hôm qua.","0"
"Chiếc xe có màu nâu.","0"
"Sự kiện diễn ra vào buổi sáng tại bệnh viện.","0"
"Cô ấy đang bán hóa đơn.","0"
"Khách hàng đang đóng ở thư viện.","0"
"Báo cáo được đặt ở công viên.","0"
"Người đàn ông đang đóng năm nay.","0"
"Báo cáo được đặt ở bến xe.","0"
"Tài liệu có màu tím.","0"
"Cây bút được đặt ở bến xe.","0"
"Khách hàng đang ăn tuần trước.","0"
"Anh ấy đang quan sát tuần trước.","0"
"Cậu bé đang đọc trên đường.","0"
"Máy tính được đặt tại bệnh viện.","0"
"Tài liệu được đặt trong nhà.","0"
"Cô bé đang đọc trong nhà.","0"
"Giáo viên đang sửa chữa lúc 7 giờ sáng.","0"
"Thư ký đang cầm bưu kiện.","0"
"Đồng hồ được đặt ở trường.","0"
"Anh ấy đang chạy tháng sau.","0"
"Cô bé đang uống lúc 12 giờ trưa.","0"
"Người đàn ông đang mang hàng hóa.","0"
"Học sinh đang sử dụng hàng hóa.","0"
"Sự kiện diễn ra hôm qua tại bệnh viện.","0"
"Cô ấy đang ăn vào buổi sáng.","0"
"Cô ấy đang đứng tại công ty.","0"
"Giám đốc đang kiểm tra tuần trước.","0"
"Công nhân đang tạo máy tính.","0"
"Điện thoại có màu trắng.","0"
"Học sinh đang nghỉ ngơi ở trường.","0"
"Khách hàng đang đi lại tuần này.","0"
"Cái ly có màu tím.","0"
"Cái ví được đặt trong nhà.","0"
"Cái bàn có màu xanh.","0"
"Cái ví có màu đỏ.","0"
